season_order,episode_number_global,season_number,seaons_label,episode_number,episode_name,person_name,type,type_short,type_number,mentioned_by,quote/context,type_of_issue,special_category,special_category_first
1,8,1,1,8,Starvin' Marvin,Chief Running Wolf,appeared,a,1,,Appears on TV in Terrance and Phillip Thanksgiving Special., ,,
1,8,1,1,8,Starvin' Marvin,David Duchovnu,mentioned,m,3,,"Writing on the board behind Mr. Marrison: ""David Duchovny is to tampons as nougat is to chocolate.""", ,,
1,8,1,1,8,Starvin' Marvin,Harrison Schmitt,depicted,d,2,,Collects moon rock on the photo in Mr. Garrison's classroom., ,schmitt,
1,9,1,1,9,"Mr. Hankey, the Christmas Poo",John Elway,mentioned,m,3,Stan,"""You guys! I'm getting that John Elway football helmet for Christmas!""", ,,
1,9,1,1,9,"Mr. Hankey, the Christmas Poo",Philip Glass,appeared,a,1,,"Plays the piano at the happy, non-offensive, non-denominational Christmas Play.", ,,
1,10,1,1,10,Damien,Harrison Schmitt,depicted,d,2,,Collects moon rock on the photo in Mr. Garrison's classroom., ,schmitt,
1,10,1,1,10,Damien,Nancy Sinatra,mentioned,m,3,Mr. Garrison,"""Now, children, Nancy Sinatra was quite a choice piece of ass…""", ,,
1,10,1,1,10,Damien,Stevie Wonder,mentioned,m,3,Cartman,"""Hey, who cut your hair? Stevie Wonder?""", ,,
1,10,1,1,10,Damien,Nancy Kerrigan,mentioned,m,3,Stan,"""What would Nancy Kerrigan do, huh?""", ,,
1,10,1,1,10,Damien,Michael Buffer,appeared,a,1,,"Michael Buffer, voiced by himself, appears as the ringside announcer.", ,,
1,10,1,1,10,Damien,Don King,appeared,a,1,,Professional boxing promoter who appears promoting Satan in his fight against Jesus., ,,
1,10,1,1,10,Damien,Mills Lane,appeared,a,1,,Serves as the referee for the boxing match between Jesus Christ and Satan., ,,
1,10,1,1,10,Damien,Joe Louis,depicted,d,2,,"A.k.a. ""the Brown Bomber"". Depicted on a poster in the training room.", ,,
1,11,1,1,11,Tom's Rhinoplasty,David Hasselhoff,depicted,d,2,,Mr. Garrison's face is a David Hasselhoff's face after a rhinoplasty., ,,
1,11,1,1,11,Tom's Rhinoplasty,Vanessa Williams,mentioned,m,3,Chef,"""Is she like uh - Vanessa Williams beautiful or-uh Toni Braxton beautiful? Or Pamela Anderson beautiful? ...Or - is she Erin Grey in the second season of Buck Rogers beautiful?""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Toni Braxton,mentioned,m,3,Chef,"""Is she like uh - Vanessa Williams beautiful or-uh Toni Braxton beautiful? Or Pamela Anderson beautiful? ...Or - is she Erin Grey in the second season of Buck Rogers beautiful?""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Pamela Anderson,mentioned,m,3,Chef,"""Is she like uh - Vanessa Williams beautiful or-uh Toni Braxton beautiful? Or Pamela Anderson beautiful? ...Or - is she Erin Grey in the second season of Buck Rogers beautiful?""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Erin Grey,mentioned,m,3,Chef,"""Is she like uh - Vanessa Williams beautiful or-uh Toni Braxton beautiful? Or Pamela Anderson beautiful? ...Or - is she Erin Grey in the second season of Buck Rogers beautiful?""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Yasmine Bleeth,mentioned,m,3,Cartman,"""We were learning about how Yasmine Bleeth is going out with that...Richard Grieco guy that used to be on 21 Jump Street but then he got his own show for just a little while-""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Richard Grieco,mentioned,m,3,Cartman,"""We were learning about how Yasmine Bleeth is going out with that...Richard Grieco guy that used to be on 21 Jump Street but then he got his own show for just a little while-""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Elton John,mentioned,m,3,Cartman,"""Wow. Wendy looks just like that chick from Grease, Elton John.""", ,,
1,11,1,1,11,Tom's Rhinoplasty,Saddam Hussein,depicted,d,2,,Seen in a photo having an affair with Ms. Ellen., ,,
1,12,1,1,12,Mecha-Streisand,Barbra Streisand,appeared,a,1,,Searches for an ancient artifact that would let her become Mecha-Streisand., ,,
1,12,1,1,12,Mecha-Streisand,Nancy Kerrigan,mentioned,m,3,Cartman,"""So I kicked him square - in the nuts, and he cried - like Nancy Kerrigan!""", ,,
1,12,1,1,12,Mecha-Streisand,Sally Struthers,appeared,a,1,,"Sidney Poitier to To Sally Struthers: ""Rebecca, I'm a man. A man like any other with dreams and emotions. And that's why I'll never put a foreign object up my ass.""", ,,
1,12,1,1,12,Mecha-Streisand,Leonard Maltin,appeared,a,1,,Assists the town of South Park in defeating Barbra Streisand by transforming into Ultura Marutin., ,,
1,12,1,1,12,Mecha-Streisand,John Elway,mentioned,m,3,Stan,"""Like John Elway important?""", ,,
1,12,1,1,12,Mecha-Streisand,Fiona Apple,mentioned,m,3,Barbrady,"""Well, you ain't Fiona Apple, and if you ain't Fiona Apple, I don't give a rat's ass!""", ,,
1,12,1,1,12,Mecha-Streisand,Sidney Poitier,appeared,a,1,,Assists the town of South Park in defeating Barbra Streisand by transforming into Megara Poatia., ,,
1,12,1,1,12,Mecha-Streisand,Robert Smith,appeared,a,1,,"Turns himself into a giant Mothra-style kaiju and destroys Mecha-Streisand with a sonic scream and his ""Robert Punch"". Also the only person to ever ", ,,
1,13,1,1,13,Cartman's Mom Is a Dirty Slut,Bob Saget,appeared,a,1,,"""Knock knock. Bob. Bob Saget…""", ,,
1,13,1,1,13,Cartman's Mom Is a Dirty Slut,John Walsh,appeared,a,1,,Appears as the host of America's Most Wanted., ,,
1,13,1,1,13,Cartman's Mom Is a Dirty Slut,John Elway,appeared,a,1,,One of the Denver Broncos., ,,
2,14,2,2,1,Terrance and Phillip in Not Without My Anus,Saddam Hussein,appeared,a,1,,Tries to take over Canada but dies in a chemical gas attack perpetrated by a stadium of Canadian citizens who fart in unison., ,,
2,14,2,2,1,Terrance and Phillip in Not Without My Anus,Celine Dion,appeared,a,1,,"Started an affair with Ugly Bob, whom she has never seen without a bag over his head.", ,,
2,14,2,2,1,Terrance and Phillip in Not Without My Anus,Jerry Springer,appeared,a,1,,Appears as a TV show host., ,,
2,14,2,2,1,Terrance and Phillip in Not Without My Anus,Ruhollah Khomeini,depicted,d,2,,Depicted on a portrait seen hung in the streets of Iran., ,,
2,15,2,2,2,Cartman's Mom Is Still a Dirty Slut,Meredith Baxter Birney,mentioned,m,3,Chef,"""Don't let him bleed on my Meredith Baxter-Birney memorial towel.""", ,,
2,15,2,2,2,Cartman's Mom Is Still a Dirty Slut,Eric Roberts,appeared,a,1,,Stars in a reenactment of Dr. Mephesto's shooting. Gets eaten by his fellow actors and townfolks., ,,
2,15,2,2,2,Cartman's Mom Is Still a Dirty Slut,Bill Clinton,appeared,a,1,,"""Well, okay, Mrs. Cartman, I'll legalize 40th trimester abortions for you.""", ,,
2,16,2,2,3,Ike's Wee Wee,John Lennon,mentioned,m,3,Mr. Mackey,"""Uh, children, LSD i-is bad. It's a drug made famous by John Lennon and Paul McCartney…""", ,,
2,16,2,2,3,Ike's Wee Wee,Paul McCartney,mentioned,m,3,Mr. Mackey,"""Uh, children, LSD i-is bad. It's a drug made famous by John Lennon and Paul McCartney…""", ,,
2,16,2,2,3,Ike's Wee Wee,Mr. T,appeared,a,1,,"Appears as his character B.A. Baracus from The A-Team, which is brought in to forcefully bring Mr. Mackey to rehabilitation.", ,,
2,16,2,2,3,Ike's Wee Wee,George Peppard,appeared,a,1,,"Appears as his character Colonel John ""Hannibal"" Smith from The A-Team, which is brought in to forcefully bring Mr. Mackey to rehabilitation.", ,,
2,16,2,2,3,Ike's Wee Wee,Dwight Schultz,appeared,a,1,,"Appears as his character ""Howling Mad"" Murdock from The A-Team, which is brought in to forcefully bring Mr. Mackey to rehabilitation.", ,,
2,16,2,2,3,Ike's Wee Wee,Jerry Garcia,mentioned,m,3,Mr. Mackey,"""I can't, man. Jerry Bear's dead, m'kay?""", ,,
2,16,2,2,3,Ike's Wee Wee,Kathie Lee Gifford,depicted,d,2,,Photo of Principal Victoria with Kathie Lee Gifford in Principal Victoria's office., ,kathie_victoria,TRUE
2,17,2,2,4,Chickenlover,Oprah Winfrey,depicted,d,2,,"Mr. Garrison writes ""OPRAH WINFREY HAS HUGE KNOCKERS"" on the board.", ,,
2,17,2,2,4,Chickenlover,Richard Nixon,depicted,d,2,,Booktastic Bus Driver wears a Richard Nixon mask when he makes love to chicken., ,,
2,17,2,2,4,Chickenlover,Ayn Rand,mentioned,m,3,Chickenlover,"""I give you this hardback copy of Atlas Shrugged, by Ayn Rand.""", ,,
2,18,2,2,5,Conjoined Fetus Lady,Abraham Lincoln,mentioned,m,3,Chinese commentator,"""Oooh, my, I haven't seen an American die like that since Abraham Lincoln!""", ,,
2,18,2,2,5,Conjoined Fetus Lady,Mao Zedong,depicted,d,2,,Portrait in the dodgeball temple., ,,
2,18,2,2,5,Conjoined Fetus Lady,Kathie Lee Gifford,depicted,d,2,,Photo of Principal Victoria with Kathie Lee Gifford in Principal Victoria's office., ,kathie_victoria,
2,19,2,2,6,The Mexican Staring Frog of Southern Sri Lanka,Bob Denver,appeared,a,1,,"Jesus: ""So... Um... Su-so, wwhat have you been up to?"" Bob: ""Nn-nothing. Nothing really at all.""", ,,
2,19,2,2,6,The Mexican Staring Frog of Southern Sri Lanka,Michael Jackson,mentioned,m,3,Fan,"""Michael Jackson. All this baad-mouthin' and puttin' the man down. Maybe he did touch some children now and then, but come on! It's Michael Jackson! Michael Jackson!""", ,,
2,19,2,2,6,The Mexican Staring Frog of Southern Sri Lanka,Steven Spielberg,mentioned,m,3,Cartman,"""I'm ready, Steven Spielberg!""", ,,
2,19,2,2,6,The Mexican Staring Frog of Southern Sri Lanka,Saddam Hussein,appeared,a,1,,"""Hey. Take a load off. Put your feet up. Me and Satan were just aboot to go shopping for furniture. Come on, Satan.""", ,,
2,20,2,2,7,City on the Edge of Forever,Larry King,mentioned,m,3,Kyle,"""	I said, 'Larry King won't grant me three wishes.'""", ,,
2,20,2,2,7,City on the Edge of Forever,Robert De Niro,mentioned,m,3,Carrot Top,"""Here's my impression of Robert De Niro.""", ,,
2,20,2,2,7,City on the Edge of Forever,Maury Povich,mentioned,m,3,Talent scout,"""I'm telling you, Marty, this woman is a natural! I haven't seen a funnier person since Maury Povich.""", ,,
2,20,2,2,7,City on the Edge of Forever,Kathie Lee Gifford,appeared,a,1,,"Appears in a ""Weight Gain 4000"" flashback.", ,,
2,20,2,2,7,City on the Edge of Forever,Jay Leno,appeared,a,1,,Appears as a TV show host. Has a very long chin., ,,
2,20,2,2,7,City on the Edge of Forever,Macaulay Culkin,depicted,d,2,,"Displayed on a poster saying ""FIND ME"" among posters of the lost kids.", ,,
2,20,2,2,7,City on the Edge of Forever,John Elway,appeared,a,1,,"Appears in a ""Cartman's Mom Is Still a Dirty Slut"" flashback as Cartman's father.", ,,
2,20,2,2,7,City on the Edge of Forever,Henry Winkler,appeared,a,1,,Appears as his character Fonzie jumping over the busses with his motorcycle in a flashback.,character,,
2,20,2,2,7,City on the Edge of Forever,Sidney Poitier,depicted,d,2,,Portrain in the talent scout's office., ,,
2,20,2,2,7,City on the Edge of Forever,Brent Musberger,appeared,a,1,,"""Dude! He got Brent Musberger for a leg!""", ,,
2,20,2,2,7,City on the Edge of Forever,Carrot Top,appeared,a,1,,"""Here's my impression of Robert De Niro. Hey, youse. Youse guys. Shut up, youse!""", ,,
2,21,2,2,8,Summer Sucks,Abe Vigoda,depicted,d,2,,Portrayed in Dyno Might Firework Company presentation., ,,
2,21,2,2,8,Summer Sucks,Wolfgang Mozart,mentioned,m,3,Music teacher,"""Okay, that was pretty good. Let's play Mozart's Symphony No. 5""", ,,
2,21,2,2,8,Summer Sucks,Shari Lewis,appeared,a,1,,"Appears on TV with Lamb Chop. ""So, Lamb Chop, what would you like to do today?""", ,,
2,21,2,2,8,Summer Sucks,Brett Favre,mentioned,m,3,Mr. Garrison,"""Sometimes Mr. Hat liked to pretend he was in a sauna with Brett Favre, and a bottle of Thousand Island dressing.""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Robert Redford,appeared,a,1,,"He and his associates move the Sundance Film Festival to South Park, creating the 1st South Park Film Festival.", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Liam Neeson,mentioned,m,3,Robert Redford,"""Sushi restaurants, upscale clothes stores, $25 parking, Liam Neeson…""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Demi Moore,mentioned,m,3,Director,"""Norma, I want to shoot the script next month with Demi Moore instead.""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Steven Spielberg,mentioned,m,3,Director,"""Well you can tell Spielberg he can kiss my ass!""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Fred Savage,appeared,a,1,,"Steps out of the limo wearing a shirt that says, 'I'm Fred Savage'.", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Leonardo DiCaprio,mentioned,m,3,Director,"""Is that Leonardo DiCaprio?""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Harrison Ford,mentioned,m,3,Director,"""The Mr. Hankey Stor-"" uh is Harrison Ford available for a fall pic?"" ""Keanu Reeves."" ""Matt Damon!"" ""Fred Savage!""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Keanu Reeves,mentioned,m,3,Director,"""The Mr. Hankey Stor-"" uh is Harrison Ford available for a fall pic?"" ""Keanu Reeves."" ""Matt Damon!"" ""Fred Savage!""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Matt Damon,mentioned,m,3,Director,"""The Mr. Hankey Stor-"" uh is Harrison Ford available for a fall pic?"" ""Keanu Reeves."" ""Matt Damon!"" ""Fred Savage!""", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Tom Hanks,appeared,a,1,,Appears on TV in a movie with Mr. Hankey., ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Andy Warhol,appeared,a,1,,"Seen in the background of various scenes in Sundance Film Festival, among the crowd of visitors and actors.", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Bruce Willis,appeared,a,1,,"Seen in the background of various scenes in Sundance Film Festival, among the crowd of visitors and actors.", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Fabio Lanzoni,appeared,a,1,,"Seen in the background of various scenes in Sundance Film Festival, among the crowd of visitors and actors.", ,,
2,22,2,2,9,Chef's Chocolate Salty Balls,Spike Lee,appeared,a,1,,"Seen in the background of various scenes in Sundance Film Festival, among the crowd of visitors and actors.", ,,
2,23,2,2,10,Chickenpox,Jaleel White,depicted,d,2,,Displayed as Steve Urkel on Cartman's sleeping bag., ,,
2,23,2,2,10,Chickenpox,David Duchovnu,mentioned,m,3,Doctor,"""As he chokes for breath, the pox will move through his inner ear into his brain, making him think he's David Duchovny.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Buddy Ebsen,appeared,a,1,,Appears as his character Barnaby Jones on TV in Mr. Garrison's classroom., ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Roger Ebert,depicted,d,2,,Outline of Roger Ebert's face with a thumbs down appears as a constellation., ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Kenny Loggins,mentioned,m,3,Planetarium owner,"""Don't forget: we have Laser Rock shows at night here at the plane-'arium. This week it's Laser Kenny Loggins and Laser James Taylor.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,James Taylor,mentioned,m,3,Planetarium owner,"""Don't forget: we have Laser Rock shows at night here at the plane-'arium. This week it's Laser Kenny Loggins and Laser James Taylor.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Daisy Fuentes,mentioned,m,3,Nurse Gollum,"""He's been talking about ""the machine"" for hours. That and Daisy Fuentes.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Ricardo Montalban,mentioned,m,3,Reporter,"""Here with a special report is a 34-year old Asian man who looks strikingly similar to Ricardo Montalban.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Elvis Presley,mentioned,m,3,Planetarium owner,"""And now, officer, from this moment on, you will think that you are Elvis Presley.""", ,,
2,24,2,2,11,Roger Ebert Should Lay Off the Fatty Foods,Charlton Heston,mentioned,m,3,Mr. Mackey,"""Oh no, apparently, he thinks he's Charlton Heston.""", ,,
2,25,2,2,12,Clubhouses,Charo,mentioned,m,3,Stan,"""You said that even though- Charo appeared twelve times on the Love Boat, the episode with Captain and Tennille got higher ratings.""", ,,
2,25,2,2,12,Clubhouses,Daryl Dragon,mentioned,m,3,Stan,"""You said that even though- Charo appeared twelve times on the Love Boat, the episode with Captain and Tennille got higher ratings.""", ,,
2,25,2,2,12,Clubhouses,Toni Tennille,mentioned,m,3,Stan,"""You said that even though- Charo appeared twelve times on the Love Boat, the episode with Captain and Tennille got higher ratings.""", ,,
2,25,2,2,12,Clubhouses,Robert Urich,mentioned,m,3,Mr. Garrison,"""Anyway, children, the Love Boat did go on for about eight years. They tried to bring it back recently, but it didn't work. Probably 'cause Robert Urich had to weigh…""", ,,
2,25,2,2,12,Clubhouses,Bill Cosby,appeared,a,1,,"Appears on TV hosting ""The Fat Abbott Show"".", ,,
2,26,2,2,13,Cow Days,Jennifer Love Hewitt,depicted,d,2,,"A wooden board featuring a photo of Jennifer Love Hewitt's face is shown, a gaping hole where her mouth should be.", ,,
2,26,2,2,13,Cow Days,Jon Bon Jovi,mentioned,m,3,Operator,"""Okay, kid, you won. You get to pick between the Barbie Pocket Mirror and the Bon Jovi Toothpick.""", ,,
2,26,2,2,13,Cow Days,Leonardo DiCaprio,appeared,a,1,,"""Bye, Ming Li. Thanks again.""", ,,
2,27,2,2,14,Chef Aid,Alanis Morissette,appeared,a,1,,"Mr. Garrison's house, Garrison is watching Alanis Morissette's Stinky Britches music video.", ,,
2,27,2,2,14,Chef Aid,Johnnie Cochran,appeared,a,1,,"""Ladies and gentleman, this is Chewbacca. Chewbacca is a Wookie from the planet Kashyyyk. But Chewbacca lives on the planet Endor. Now think about that. That does not make sense.""", ,,
2,27,2,2,14,Chef Aid,O. J. Simpson,mentioned,m,3,Gerald,"""Chef, that's Johnnie Cochran. He's the guy who knocked O.J. off.""", ,,
2,27,2,2,14,Chef Aid,Janis Joplin,mentioned,m,3,Chef,"""Did I? Janis Joplin, The Beatles, Elton John... I got to travel all around the world, hanging out with bands, going to lavish parties, lovin' many, many women.""", ,,
2,27,2,2,14,Chef Aid,Leonardo DiCaprio,depicted,d,2,,"Mr. Garrison's house. Mr. Twig lies in bed, a photo of Leonardo DiCaprio on the wall.", ,,
2,27,2,2,14,Chef Aid,Elton John,appeared,a,1,,"""I really thought I had it this time with ""Cheddar Cheese Girl"".""", ,,
2,27,2,2,14,Chef Aid,Bernie Taupin,mentioned,m,3,Chef,"""What you need is a guy to write really good lyrics for you. I know a guy named Bernie Taupin who's working at Moth Burger right now. I'll give him a call.""", ,,
2,27,2,2,14,Chef Aid,Meat Loaf,appeared,a,1,,"""Beefy? Like, uhh… Tri-tip!""", ,,
2,27,2,2,14,Chef Aid,Rick James,appeared,a,1,,"""Sure. I'll do anything for Chef. Give me a box of those Choco-Numbers.""", ,,
2,27,2,2,14,Chef Aid,Les Claypool,appeared,a,1,,"""We're damned proud to be here to support our good buddy, Chef. It was Chef who told us in the early days, to keep trying and to keep pursuing our dreams, no matter how much we sucked. I love that man.""", ,,
2,27,2,2,14,Chef Aid,Joe Strummer,appeared,a,1,,"""You know, when The Clash were on tour and we lost the beat, Chef would be like at the side of the stage going, ""Don't forget, pump your loins, children."" You know, that was like his motto or something.""", ,,
2,27,2,2,14,Chef Aid,Ozzy Osbourne,appeared,a,1,,"""I remember when I was just starting out, Chef suggested I buy a pompadour hat. I thought he said, ""Bite the head off a bat"", so I did. And the rest, oh, it's just history. Now, let's go crazyyy!""", ,,
2,27,2,2,14,Chef Aid,Tim Armstrong,appeared,a,1,,"Rancid member. Performs at ""Chef Aid"".", ,,
2,27,2,2,14,Chef Aid,Lars Frederiksen,appeared,a,1,,"Rancid member. Performs at ""Chef Aid"".", ,,
2,27,2,2,14,Chef Aid,Matt Freeman,appeared,a,1,,"Rancid member. Performs at ""Chef Aid"".", ,,
2,27,2,2,14,Chef Aid,Brett Reed,appeared,a,1,,"Rancid member. Performs at ""Chef Aid"".", ,,
2,27,2,2,14,Chef Aid,Dean Ween,appeared,a,1,,"Gene Ween: ""Chef was the guy who told us to do a country album."" Dean Ween: ""No, dude, that was Steve's idea.""", ,,
2,27,2,2,14,Chef Aid,Gene Ween,appeared,a,1,,"Gene Ween: ""Chef was the guy who told us to do a country album."" Dean Ween: ""No, dude, that was Steve's idea.""", ,,
2,27,2,2,14,Chef Aid,John Lennon,depicted,d,2,,"Photo of the Beatles with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Paul McCartney,depicted,d,2,,"Photo of the Beatles with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,George Harrison,depicted,d,2,,"Photo of the Beatles with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Ringo Starr,depicted,d,2,,"Photo of the Beatles with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Paul Cook,depicted,d,2,,"Photo of Sex Pistols with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Steve Jones,depicted,d,2,,"Photo of Sex Pistols with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Johnny Rotten,depicted,d,2,,"Photo of Sex Pistols with Chef in his ""Memories"" photo album.", ,,
2,27,2,2,14,Chef Aid,Sid Vicious,depicted,d,2,,"Photo of Sex Pistols with Chef in his ""Memories"" photo album.", ,,
